Team,Age,Pace,FTr,X3PAr,TS,eFG,TOV,ORB,FTFGA,eFG.1,TOV.1,DRB,FTFGA.1,outcome,division
New Orleans Hornets,29.1,89.4,0.285,0.161,0.511,0.465,13.9,31.7,0.219,0.464,14,73.1,0.226,1,W
New York Knicks,30.2,90.7,0.241,0.235,0.528,0.486,13.4,24.4,0.196,0.485,13.7,71.8,0.261,0,E
Orlando Magic,26.9,93.1,0.307,0.235,0.526,0.478,13.3,27,0.239,0.486,15.1,71.1,0.25,1,E
Philadelphia 76ers,28.3,91.4,0.339,0.119,0.52,0.466,13.7,30.3,0.263,0.488,16.2,72.7,0.243,2,E
Phoenix Suns,25.2,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,1,W
Portland Trail Blazers,29.2,89.4,0.3,0.177,0.531,0.489,14.5,30.2,0.223,0.483,14.9,72.3,0.194,1,W
Sacramento Kings,28.3,95.4,0.262,0.184,0.535,0.499,13.3,25.6,0.196,0.446,13.6,70.6,0.204,2,W
San Antonio Spurs,28.4,90,0.348,0.202,0.541,0.497,15.1,28.8,0.253,0.453,14.2,71.3,0.199,5,W
Seattle SuperSonics,26.9,88,0.27,0.196,0.512,0.472,12.8,28.1,0.201,0.484,14.3,71.8,0.21,0,W
Toronto Raptors,27.6,89.9,0.282,0.179,0.497,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,0,E
Utah Jazz,30.9,89.3,0.38,0.104,0.537,0.486,16,32.5,0.283,0.468,15.2,70.2,0.256,1,W
Washington Wizards,28.4,88.2,0.325,0.127,0.513,0.46,13,27.3,0.253,0.477,13.8,71.6,0.212,0,E
Atlanta Hawks,26.2,90.8,0.303,0.191,0.514,0.465,15.4,28.6,0.235,0.476,13.1,70.5,0.234,0,E
Boston Celtics,26.4,93.2,0.327,0.249,0.532,0.486,15.4,25.2,0.245,0.479,15.7,69.5,0.24,1,E
Chicago Bulls,26.8,92.2,0.272,0.186,0.486,0.446,14.9,28.1,0.197,0.469,14.1,71.4,0.253,0,E
Cleveland Cavaliers,24.9,90.8,0.301,0.116,0.498,0.451,13.7,31.1,0.226,0.469,12.3,73,0.221,0,E
Dallas Mavericks,27.4,93.2,0.256,0.201,0.536,0.495,11.1,31.4,0.204,0.498,13.9,71.6,0.214,1,W
Denver Nuggets,25.6,93.3,0.319,0.146,0.517,0.467,14.2,30.5,0.245,0.481,15.6,69.3,0.221,1,W
Detroit Pistons,27.4,87.9,0.328,0.153,0.511,0.461,14.7,30.1,0.247,0.441,15.5,71.8,0.202,5,E
Golden State Warriors,28.1,89.8,0.311,0.197,0.517,0.475,14.1,28.4,0.226,0.476,13.3,72.1,0.211,0,W
Houston Rockets,28.3,87.8,0.286,0.227,0.528,0.484,16.4,26.5,0.221,0.447,13.1,74.5,0.233,1,W
Indiana Pacers,27.1,87.5,0.319,0.203,0.52,0.471,14.1,28.5,0.243,0.459,15.7,73.9,0.218,3,E
Los Angeles Clippers,24.3,91,0.35,0.156,0.512,0.453,15,32.8,0.275,0.494,12.9,70,0.231,0,W
Los Angeles Lakers,29.8,92.3,0.352,0.167,0.522,0.481,12.8,28.1,0.244,0.471,14.3,73.3,0.222,4,W
Memphis Grizzlies,26,91.4,0.322,0.197,0.522,0.479,13.9,29.5,0.234,0.465,15.7,68.4,0.251,1,W
Miami Heat,26.4,88,0.298,0.211,0.51,0.463,13.5,27.4,0.227,0.463,14.5,73.4,0.26,2,E
Milwaukee Bucks,26.5,91.6,0.33,0.172,0.528,0.477,12.7,27.6,0.255,0.485,13.3,71.8,0.213,1,E
Minnesota Timberwolves,29.7,89,0.265,0.137,0.528,0.486,12.4,26.7,0.207,0.444,12.9,72.5,0.215,3,W
New Jersey Nets,27.7,89.4,0.291,0.176,0.515,0.471,14.4,25.9,0.219,0.46,15.7,73.9,0.221,2,E
New Orleans Hornets,30.3,89.1,0.293,0.252,0.505,0.46,14.1,30.6,0.22,0.476,15,71.3,0.218,1,W
New York Knicks,29.6,89.5,0.266,0.171,0.518,0.474,15.1,28,0.211,0.461,13.2,72.8,0.259,1,E
Orlando Magic,25.8,90.8,0.296,0.184,0.504,0.461,12.8,28.1,0.218,0.502,12.7,68.7,0.214,0,E
Philadelphia 76ers,27.5,88,0.321,0.158,0.505,0.456,15.5,28.2,0.242,0.467,14.7,70.7,0.231,0,E
Phoenix Suns,24.4,92.6,0.28,0.18,0.515,0.475,14.3,26.6,0.209,0.482,14.7,69.9,0.24,0,W
Portland Trail Blazers,27.6,86.2,0.267,0.17,0.515,0.478,14.4,31.2,0.195,0.482,13.3,70,0.186,0,W
Sacramento Kings,29.3,92.8,0.305,0.223,0.554,0.507,13,26,0.242,0.483,13.7,69.8,0.193,2,W
San Antonio Spurs,27.3,89.2,0.322,0.177,0.511,0.473,14.1,29.5,0.219,0.433,14.8,74.6,0.215,2,W
Seattle SuperSonics,26,89.9,0.27,0.294,0.54,0.501,13.9,27.2,0.207,0.487,13.9,68.5,0.237,0,W
Toronto Raptors,27.6,86.8,0.26,0.204,0.495,0.454,14.1,23.8,0.195,0.449,14.1,70.1,0.241,0,E
Utah Jazz,24.9,86.6,0.356,0.127,0.509,0.456,16.1,34.1,0.266,0.468,15.4,72.4,0.319,0,W
Washington Wizards,24.4,92.2,0.337,0.194,0.5,0.454,16,30.7,0.241,0.486,14.9,69.5,0.214,0,E
Atlanta Hawks,26,91.4,0.299,0.146,0.504,0.464,14.9,30.7,0.212,0.513,14,72.1,0.289,0,E
Boston Celtics,27.1,93.3,0.357,0.192,0.551,0.501,14.7,27.2,0.273,0.481,14.2,70.1,0.274,1,E
Charlotte Bobcats,24.9,92.3,0.306,0.128,0.497,0.455,13.3,29.5,0.217,0.497,14.7,70.9,0.269,0,E
Chicago Bulls,25,92.4,0.311,0.217,0.517,0.471,15.5,28.4,0.233,0.454,14.4,72.6,0.262,1,E
Cleveland Cavaliers,26.5,89.7,0.325,0.135,0.518,0.47,13,32.5,0.244,0.485,14.1,71.5,0.248,0,E
Dallas Mavericks,27.7,92.7,0.346,0.19,0.545,0.492,12.5,28.6,0.273,0.472,14.3,70.2,0.239,2,W
Denver Nuggets,26.7,93.5,0.35,0.142,0.535,0.483,13.8,28.4,0.267,0.482,15.1,71.7,0.247,1,W
Detroit Pistons,27.9,87.2,0.335,0.164,0.519,0.472,13.3,31.2,0.247,0.461,13.5,73,0.207,4,E
Golden State Warriors,26.7,93.3,0.278,0.252,0.512,0.475,12.3,27.8,0.201,0.491,13.9,69.7,0.227,0,W
Houston Rockets,29.7,88.8,0.309,0.237,0.534,0.486,13.5,26.3,0.242,0.459,12.9,74.5,0.245,1,W
Indiana Pacers,28.3,87.2,0.358,0.255,0.534,0.476,14.1,26.4,0.283,0.472,13.6,71.3,0.261,2,E
Los Angeles Clippers,25.5,89.1,0.357,0.105,0.533,0.477,14.9,30.3,0.278,0.48,13,71.3,0.235,0,W
Los Angeles Lakers,26,90.8,0.322,0.273,0.535,0.485,13.4,29.5,0.251,0.493,11,71.1,0.218,0,W
Memphis Grizzlies,26.3,88.5,0.323,0.237,0.535,0.489,14.3,27.1,0.243,0.466,15.4,69.9,0.27,1,W
Miami Heat,28,90.8,0.387,0.198,0.559,0.524,13.1,27,0.26,0.46,12.4,74.1,0.242,3,E
Milwaukee Bucks,26.9,90.8,0.339,0.141,0.527,0.475,13,29,0.261,0.499,12.4,72,0.233,0,E
Minnesota Timberwolves,29,89.1,0.275,0.173,0.534,0.489,12.7,28.6,0.219,0.472,11.2,71.4,0.208,0,W
New Jersey Nets,27.8,89.1,0.318,0.187,0.512,0.463,13.7,25.5,0.242,0.479,15.2,73.2,0.278,1,E
